reigion_id,MAE_score
region_6075010100,0.296
region_6075010200,0.552
region_6075010300,0.699
region_6075010400,0.959
region_6075010500,0.751
region_6075010600,0.742
region_6075010700,0.481
region_6075010800,0.191
region_6075010900,0.669
region_6075011000,0.709
region_6075011100,0.67
region_6075011200,0.553
region_6075011300,0.449
region_6075011700,0.536
region_6075011800,0.789
region_6075011901,1.77
region_6075011902,1.237
region_6075012000,0.861
region_6075012100,0.778
region_6075012201,0.558
region_6075012202,0.441
region_6075012301,0.271
region_6075012302,0.478
region_6075012401,0.941
region_6075012402,0.528
region_6075012501,0.844
region_6075012502,1.233
region_6075012601,0.992
region_6075012602,0.652
region_6075012700,1.34
region_6075012800,0.452
region_6075012901,0.617
region_6075012902,0.54
region_6075013000,0.467
region_6075013101,0.925
region_6075013102,0.99
region_6075013200,0.518
region_6075013300,0.91
region_6075013400,1.055
region_6075013500,0.346
region_6075015100,0.494
region_6075015200,0.754
region_6075015300,0.911
region_6075015400,0.3
region_6075015500,0.57
region_6075015600,0.515
region_6075015700,0.472
region_6075015801,0.505
region_6075015802,0.345
region_6075015900,0.554
region_6075016000,0.577
region_6075016100,0.444
region_6075016200,0.777
region_6075016300,0.505
region_6075016400,0.697
region_6075016500,0.715
region_6075016600,0.495
region_6075016700,0.409
region_6075016801,0.557
region_6075016802,0.919
region_6075016900,0.911
region_6075017000,0.503
region_6075017101,0.928
region_6075017102,0.566
region_6075017601,0.394
region_6075017700,0.372
region_6075017801,1.097
region_6075017802,0.637
region_6075017902,1.491
region_6075018000,0.745
region_6075020100,0.505
region_6075020200,1.034
region_6075020300,0.614
region_6075020401,1.0
region_6075020402,1.354
region_6075020500,0.677
region_6075020600,0.57
region_6075020700,1.205
region_6075020800,0.366
region_6075020900,0.359
region_6075021000,1.378
region_6075021100,0.525
region_6075021200,0.58
region_6075021300,0.683
region_6075021400,0.412
region_6075021500,0.514
region_6075021600,0.539
region_6075021700,0.783
region_6075021800,0.801
region_6075022600,0.773
region_6075022702,1.396
region_6075022704,1.893
region_6075022801,0.125
region_6075022802,1.094
region_6075022803,1.264
region_6075022901,1.11
region_6075022902,1.392
region_6075022903,1.065
region_6075023001,1.701
region_6075023003,0.805
region_6075023102,1.074
region_6075023103,1.261
region_6075023200,0.656
region_6075023300,1.019
region_6075023400,0.873
region_6075025100,1.462
region_6075025200,0.496
region_6075025300,0.384
region_6075025401,0.418
region_6075025402,0.696
region_6075025403,1.636
region_6075025500,1.367
region_6075025600,1.683
region_6075025701,2.208
region_6075025702,1.253
region_6075025800,0.974
region_6075025900,1.289
region_6075026001,0.571
region_6075026002,0.933
region_6075026003,0.864
region_6075026004,0.785
region_6075026100,0.278
region_6075026200,1.709
region_6075026301,0.623
region_6075026302,0.99
region_6075026303,0.758
region_6075026401,0.507
region_6075026402,0.708
region_6075026403,0.419
region_6075026404,1.073
region_6075030101,0.416
region_6075030102,1.384
region_6075030201,0.554
region_6075030202,0.462
region_6075030301,0.99
region_6075030302,1.103
region_6075030400,0.862
region_6075030500,1.428
region_6075030600,0.679
region_6075030700,1.575
region_6075030800,0.511
region_6075030900,0.539
region_6075031000,0.909
region_6075031100,2.234
region_6075031201,0.543
region_6075031202,1.316
region_6075031301,1.067
region_6075031302,1.699
region_6075031400,1.531
region_6075032601,0.549
region_6075032602,0.657
region_6075032700,0.56
region_6075032801,0.693
region_6075032802,1.015
region_6075032901,0.684
region_6075032902,1.455
region_6075033000,0.921
region_6075033100,0.936
region_6075033201,0.759
region_6075033203,2.143
region_6075033204,1.638
region_6075035100,0.538
region_6075035201,1.617
region_6075035202,0.696
region_6075035300,0.57
region_6075035400,0.688
region_6075040100,0.698
region_6075040200,0.52
region_6075042601,0.598
region_6075042602,0.777
region_6075042700,0.682
region_6075042800,1.16
region_6075045100,0.547
region_6075045200,0.646
region_6075047600,0.63
region_6075047701,0.572
region_6075047702,0.967
region_6075047801,0.902
region_6075047802,0.758
region_6075047901,0.812
region_6075047902,0.554
region_6075060100,1.045
region_6075060400,2.12
region_6075060502,0.437
region_6075060700,0.822
region_6075061000,0.713
region_6075061100,0.727
region_6075061200,0.566
region_6075061400,1.885
region_6075061500,0.419
region_6075980200,0.948
region_6075980300,0.565
region_6075980501,1.224
region_6075980600,1.21
region_6075980900,0.474
