reigion_id,MAE_score
region_6075010100,0.484
region_6075010200,1.079
region_6075010300,0.763
region_6075010400,1.171
region_6075010500,0.782
region_6075010600,0.928
region_6075010700,0.732
region_6075010800,0.259
region_6075010900,1.016
region_6075011000,0.996
region_6075011100,0.942
region_6075011200,0.874
region_6075011300,0.508
region_6075011700,0.891
region_6075011800,0.803
region_6075011901,1.805
region_6075011902,1.346
region_6075012000,0.914
region_6075012100,0.782
region_6075012201,0.618
region_6075012202,0.472
region_6075012301,0.347
region_6075012302,0.597
region_6075012401,1.118
region_6075012402,0.914
region_6075012501,1.037
region_6075012502,1.269
region_6075012601,1.025
region_6075012602,0.697
region_6075012700,1.866
region_6075012800,0.761
region_6075012901,0.78
region_6075012902,0.596
region_6075013000,0.474
region_6075013101,0.98
region_6075013102,0.939
region_6075013200,0.602
region_6075013300,0.806
region_6075013400,1.212
region_6075013500,0.356
region_6075015100,0.63
region_6075015200,0.868
region_6075015300,0.908
region_6075015400,0.558
region_6075015500,0.673
region_6075015600,0.754
region_6075015700,0.827
region_6075015801,0.826
region_6075015802,0.433
region_6075015900,0.701
region_6075016000,0.651
region_6075016100,0.65
region_6075016200,0.938
region_6075016300,0.541
region_6075016400,0.77
region_6075016500,1.249
region_6075016600,1.008
region_6075016700,0.643
region_6075016801,0.728
region_6075016802,1.087
region_6075016900,0.953
region_6075017000,0.565
region_6075017101,1.307
region_6075017102,0.829
region_6075017601,0.749
region_6075017700,0.759
region_6075017801,1.178
region_6075017802,0.979
region_6075017902,5.658
region_6075018000,0.83
region_6075020100,0.651
region_6075020200,1.386
region_6075020300,1.153
region_6075020401,4.428
region_6075020402,2.561
region_6075020500,0.947
region_6075020600,0.655
region_6075020700,1.309
region_6075020800,0.527
region_6075020900,0.602
region_6075021000,1.829
region_6075021100,0.484
region_6075021200,0.727
region_6075021300,0.764
region_6075021400,0.418
region_6075021500,0.609
region_6075021600,0.646
region_6075021700,2.575
region_6075021800,0.794
region_6075022600,1.016
region_6075022702,2.471
region_6075022704,3.22
region_6075022801,0.157
region_6075022802,1.509
region_6075022803,1.234
region_6075022901,1.089
region_6075022902,1.533
region_6075022903,1.837
region_6075023001,4.654
region_6075023003,0.804
region_6075023102,2.003
region_6075023103,2.031
region_6075023200,0.928
region_6075023300,1.229
region_6075023400,1.173
region_6075025100,3.132
region_6075025200,0.546
region_6075025300,0.513
region_6075025401,0.409
region_6075025402,0.711
region_6075025403,2.373
region_6075025500,2.334
region_6075025600,2.54
region_6075025701,7.252
region_6075025702,1.823
region_6075025800,1.486
region_6075025900,1.955
region_6075026001,0.606
region_6075026002,0.838
region_6075026003,1.622
region_6075026004,1.013
region_6075026100,0.525
region_6075026200,2.188
region_6075026301,0.893
region_6075026302,1.755
region_6075026303,0.758
region_6075026401,0.588
region_6075026402,1.152
region_6075026403,0.558
region_6075026404,1.028
region_6075030101,0.721
region_6075030102,1.918
region_6075030201,0.745
region_6075030202,0.716
region_6075030301,2.136
region_6075030302,1.398
region_6075030400,1.091
region_6075030500,3.82
region_6075030600,1.501
region_6075030700,1.65
region_6075030800,0.639
region_6075030900,0.726
region_6075031000,1.039
region_6075031100,2.16
region_6075031201,0.833
region_6075031202,1.393
region_6075031301,1.155
region_6075031302,1.859
region_6075031400,1.689
region_6075032601,0.876
region_6075032602,0.707
region_6075032700,0.722
region_6075032801,0.979
region_6075032802,1.366
region_6075032901,0.767
region_6075032902,1.819
region_6075033000,1.118
region_6075033100,1.984
region_6075033201,1.008
region_6075033203,2.758
region_6075033204,1.701
region_6075035100,0.627
region_6075035201,1.678
region_6075035202,0.808
region_6075035300,0.755
region_6075035400,0.881
region_6075040100,0.819
region_6075040200,0.715
region_6075042601,0.63
region_6075042602,1.045
region_6075042700,0.815
region_6075042800,1.73
region_6075045100,0.594
region_6075045200,0.83
region_6075047600,0.865
region_6075047701,0.78
region_6075047702,1.055
region_6075047801,1.53
region_6075047802,1.282
region_6075047901,0.874
region_6075047902,0.718
region_6075060100,4.905
region_6075060400,5.197
region_6075060502,0.576
region_6075060700,1.148
region_6075061000,0.922
region_6075061100,0.742
region_6075061200,0.798
region_6075061400,2.294
region_6075061500,0.748
region_6075980200,1.021
region_6075980300,1.392
region_6075980501,1.97
region_6075980600,1.111
region_6075980900,1.086
