EQUIP_CODE,EQUIP_NAME,Difference
1,POWELL STREET CAR,0
2,POWELL STREET CAR,1
3,POWELL STREET CAR,1
4,POWELL STREET CAR,1
5,POWELL STREET CAR,1
6,POWELL STREET CAR,1
7,POWELL STREET CAR,1
8,POWELL STREET CAR,1
9,POWELL STREET CAR,1
10,POWELL STREET CAR,1
11,POWELL STREET CAR,1
12,POWELL STREET CAR,1
13,POWELL STREET CAR,1
14,POWELL STREET CAR,1
15,POWELL STREET CAR,1
16,POWELL STREET CAR,1
17,POWELL STREET CAR,1
18,POWELL STREET CAR,1
19,POWELL STREET CAR,1
20,POWELL STREET CAR,1
21,POWELL STREET CAR,1
22,POWELL STREET CAR,1
23,POWELL STREET CAR,1
24,POWELL STREET CAR,1
25,POWELL STREET CAR,1
26,POWELL STREET CAR,1
27,POWELL STREET CAR,1
28,POWELL STREET CAR,21
49,CALIFORNIA LINE CAR,1
50,CALIFORNIA LINE CAR,1
51,CALIFORNIA LINE CAR,1
52,CALIFORNIA LINE CAR,1
53,CALIFORNIA LINE CAR,1
54,CALIFORNIA LINE CAR,1
55,CALIFORNIA LINE CAR,1
56,CALIFORNIA LINE CAR,1
57,CALIFORNIA LINE CAR,1
58,CALIFORNIA LINE CAR,1
59,CALIFORNIA LINE CAR,1
60,CALIFORNIA LINE CAR,70
130,MUNI.CAR #130,93
223,BLACKPOOL BOAT TRAM,5
228,BLACKPOOL BOAT TRAM,5
233,BLACKPOOL BOAT TRAM,263
496,SYDNEY CAR #0496,241
737,BRUSSELS,179
916,M&MTB PRESTON WORKSHOPS,36
952,NEW ORLEANS CAR,54
1006,PRES.CONFERENCE CAR,1
1007,PRES.CONFERENCE CAR,1
1008,PRES.CONFERENCE CAR-BROOKVILLE RETROFIT,1
1009,PRES.CONFERENCE CAR,1
1010,PRES.CONFERENCE CAR,1
1011,PRES.CONFERENCE CAR,4
1015,PRES.CONFERENCE CAR,25
1040,PRES.CONFERENCE CAR,10
1050,PRES.CONFERENCE CAR,1
1051,PRES.CONFERENCE CAR,1
1052,PRES.CONFERENCE CAR,1
1053,PRES.CONFERENCE CAR,1
1054,PRES.CONFERENCE CAR,1
1055,PRES.CONFERENCE CAR,1
1056,PRES.CONFERENCE CAR,1
1057,PRES.CONFERENCE CAR,1
1058,PRES.CONFERENCE CAR,1
1059,PRES.CONFERENCE CAR,1
1060,NPRES.CONFERENCE CAR,1
1061,NN,1
1062,PRES.CONFERENCE CAR,1
1063,PRES.CONFERENCE CAR,7
1070,PRES.CONFERENCE CAR,1
1071,PRES.CONFERENCE CAR,1
1072,PRES.CONFERENCE CAR,1
1073,PRES.CONFERENCE CAR,1
1074,PRES.CONFERENCE CAR,1
1075,PRES.CONFERENCE CAR,1
1076,PRES.CONFERENCE CAR,1
1077,PRES.CONFERENCE CAR,1
1078,PRES.CONFERENCE CAR-BROOKVILLE RETROFIT,1
1079,PRES.CONFERENCE CAR-BROOKVILLE RETROFIT,1
1080,PRES.CONFERENCE CAR-BROOKVILLE RETROFIT,320
1400,LRV2-MOD9,1
1401,LRV2-MOD9,1
1402,LRV2-MOD9,1
1403,LRV2-MOD9,1
1404,LRV2-MOD9,1
1405,LRV2-MOD9,1
1406,LRV2-MOD9,1
1407,LRV2-MOD9,1
1408,LRV2-MOD9,1
1409,LRV2-MOD9,1
1410,LRV2-MOD9,1
1411,LRV2-MOD9,1
1412,LRV2-MOD9,1
1413,LRV2-MOD9,1
1414,LRV2-MOD9,1
1415,LRV2-MOD9,1
1416,LRV2-MOD9,1
1417,LRV2-MOD9,1
1418,LRV2-MOD9,1
1419,LRV2-MOD9,1
1420,LRV2-MOD9,1
1421,LRV2-MOD9,1
1422,LRV2-MOD9,1
1423,LRV2-MOD9,1
1424,LRV2-MOD 11,1
1425,LRV2-MOD9,1
1426,LRV2-MOD9,1
1427,LRV2-MOD9,1
1428,LRV2-MOD9,2
1430,LRV2-MOD9,1
1431,LRV2-MOD9,1
1432,LRV2-MOD9,1
1433,COMBINED WITH 1435A,1
1434,LRV2-MOD9,2
1436,LRV2-MOD9,1
1437,LRV2-MOD9,1
1438,LRV2-MOD9,1
1439,LRV2-MOD9,1
1440,LRV2-MOD9,1
1441,BREDA MOD 11,1
1442,LRV2-MOD9,1
1443,LRV2-MOD9,1
1444,LRV2-MOD9,1
1445,LRV2-MOD9,1
1446,LRV2-MOD9,1
1447,LRV2-MOD9,1
1448,LRV2-MOD9,1
1449,LRV2-MOD9,1
1450,BREDA MOD 11,1
1451,LRV2-MOD9,1
1452,BREDA MOD 11,1
1453,LRV2-MOD9,1
1454,LRV2-MOD9,1
1455,LRV2-MOD9,1
1456,LRV2-MOD9,1
1457,LRV2-MOD9,1
1458,LRV2-MOD9,1
1459,LRV2-MOD9,1
1460,LRV2-MOD9,1
1461,LRV2-MOD9,1
1462,LRV2-MOD9. MOD11,1
1463,BREDA MOD 11,1
1464,LRV2-MOD9,1
1465,LRV2-MOD9,1
1466,LRV2-MOD9,1
1467,LRV2-MOD9,1
1468,LRV2-MOD9,1
1469,LRV2-MOD9,1
1470,LRV2-MOD9,1
1471,LRV2-MOD9,1
1472,LRV2-MOD9,1
1473,LRV2-MOD9,1
1474,LRV2-MOD9,1
1475,LRV2-MOD9,1
1476,LRV2-MOD9,1
1477,LRV3-MOD11,1
1478,LRV3-MOD11,1
1479,LRV3-MOD11,1
1480,LRV3-MOD11,1
1481,LRV3-MOD11,1
1482,LRV3-MOD11,1
1483,LRV3-MOD11,1
1484,LRV3-MOD11,1
1485,LRV3-MOD11,1
1486,LRV3-MOD11,1
1487,LRV3-MOD11,1
1488,LRV3-MOD11 - EBALD,1
1489,LRV3-MOD11,1
1490,LRV3-MOD11,1
1491,LRV3-MOD11,1
1492,BREDA MOD 11,1
1493,LRV3-MOD11,1
1494,LRV3-MOD11,1
1495,LRV3-MOD11,1
1496,LRV3-MOD11,1
1497,LRV3-MOD11,1
1498,LRV3-MOD11,1
1499,LRV3-MOD11,1
1500,LRV3-MOD11,1
1501,LRV3-MOD11,1
1502,LRV3-MOD11,1
1503,LRV3-MOD11,1
1504,LRV3-MOD11,1
1505,BREDA MOD 11 - BREDA RETROFIT,1
1506,LRV3-MOD11,1
1507,LRV3-MOD11,1
1508,LRV3-MOD11,1
1509,LRV3-MOD11,1
1510,LRV3-MOD11,1
1511,BREDA MOD 11,1
1512,LRV3-MOD11,1
1513,LRV3-MOD11,1
1514,LRV3-MOD11,1
1515,LRV3-MOD11,1
1516,BREDA MOD 11,1
1517,LRV3-MOD11,1
1518,LRV3-MOD11,1
1519,LRV3-MOD11,1
1520,LRV3-MOD11,1
1521,LRV3-MOD11,1
1522,LRV3-MOD11,1
1523,LRV3-MOD11,1
1524,LRV3-MOD11,1
1525,LRV3-MOD11,1
1526,LRV3-MOD11,1
1527,LRV3-MOD11,1
1528,LRV3-MOD11,1
1529,LRV3-MOD11,1
1530,LRV3-MOD11,1
1531,LRV3-MOD11,1
1532,LRV3-MOD11,1
1533,LRV3-MOD11,1
1534,LRV3-MOD11,1
1535,LRV3-MOD11,1
1536,BREDA MOD 11,1
1537,LRV3-MOD11,1
1538,LRV3-MOD11,1
1539,LRV3-MOD11,1
1540,LRV3-MOD11,1
1541,LRV3-MOD11,1
1542,LRV3-MOD11,1
1543,LRV3-MOD11,1
1544,LRV3-MOD11,1
1545,LRV3-MOD11,1
1546,LRV3-MOD11,1
1547,LRV3-MOD11,1
1548,LRV3-MOD11,1
1549,LRV3-MOD11,1
1550,LRV3-MOD11,257
1807,MILAN,4
1811,MILAN,3
1814,MILAN,1
1815,MILAN,3
1818,MILAN,38
1856,MILAN,3
1859,MILAN,29
1888,MILAN,5
1893,MILAN,2
1895,MILAN,2621
4516,40' FLYER COACH,10
4526,40' FLYER COACH,9
4535,40' FLYER COACH,3
4538,40' FLYER COACH,20
4558,40' FLYER COACH,4
4562,40' FLYER COACH,18
4580,40' FLYER COACH,4
4584,40' FLYER COACH,6
4590,40' FLYER COACH,9
4599,40' FLYER COACH,5
4604,40' FLYER COACH,6
4610,40' FLYER COACH,1
4611,40' FLYER COACH,10
4621,40' FLYER COACH,10
4631,40' FLYER COACH,27
4658,40' FLYER COACH,4
4662,40' FLYER COACH,382
5044,ELECTRIC TROLLEY,113
5157,ELECTRIC TROLLEY,34
5191,ELECTRIC TROLLEY,10
5201,ELECTRIC TROLLEY,17
5218,ELECTRIC TROLLEY,7
5225,ELECTRIC TROLLEY,13
5238,ELECTRIC TROLLEY,2
5240,ELECTRIC TROLLEY,5
5245,ELECTRIC TROLLEY,1
5246,ELECTRIC TROLLEY,8
5254,ELECTRIC TROLLEY,5
5259,ELECTRIC TROLLEY,21
5280,ELECTRIC TROLLEY,7
5287,ELECTRIC TROLLEY,7
5294,ELECTRIC TROLLEY,6
5300,ELECTRIC TROLLEY,3
5303,ELECTRIC TROLLEY,26
5329,ELECTRIC TROLLEY,1
5330,ELECTRIC TROLLEY,2
5332,ELECTRIC TROLLEY,11
5343,ELECTRIC TROLLEY,61
5404,ETI 40' STANDARD,1
5405,ETI 40' STANDARD,2
5407,ETI 40' STANDARD,1
5408,ETI 40' STANDARD,1
5409,ETI 40' STANDARD,1
5410,ETI 40' STANDARD,3
5413,ETI 40' STANDARD,1
5414,ETI 40' STANDARD,1
5415,ETI 40' STANDARD,1
5416,ETI 40' STANDARD,1
5417,ETI 40' STANDARD,2
5419,ETI 40' STANDARD,1
5420,ETI 40' STANDARD,1
5421,ETI 40' STANDARD,1
5422,ETI 40' STANDARD,2
5424,ETI 40' STANDARD,1
5425,ETI 40' STANDARD,3
5428,ETI 40' STANDARD,1
5429,ETI 40' STANDARD,1
5430,ETI 40' STANDARD,2
5432,ETI 40' STANDARD,1
5433,ETI 40' STANDARD,2
5435,ETI 40' STANDARD,1
5436,ETI 40' STANDARD,1
5437,ETI 40' STANDARD,1
5438,ETI 40' STANDARD,2
5440,ETI 40' STANDARD,1
5441,ETI 40' STANDARD,1
5442,ETI 40' STANDARD,1
5443,ETI 40' STANDARD,1
5444,ETI 40' STANDARD,1
5445,ETI 40' STANDARD,1
5446,ETI 40' STANDARD,1
5447,ETI 40' STANDARD,1
5448,ETI 40' STANDARD,1
5449,ETI 40' STANDARD,1
5450,ETI 40' STANDARD,1
5451,ETI 40' STANDARD,1
5452,ETI 40' STANDARD,1
5453,ETI 40' STANDARD,2
5455,ETI 40' STANDARD,1
5456,ETI 40' STANDARD,1
5457,ETI 40' STANDARD,1
5458,ETI 40' STANDARD,2
5460,ETI 40' STANDARD,1
5461,ETI 40' STANDARD,1
5462,ETI 40' STANDARD,1
5463,ETI 40' STANDARD,2
5465,ETI 40' STANDARD,1
5466,ETI 40' STANDARD,1
5467,ETI 40' STANDARD,2
5469,ETI 40' STANDARD,1
5470,ETI 40' STANDARD,1
5471,ETI 40' STANDARD,1
5472,ETI 40' STANDARD,1
5473,ETI 40' STANDARD,1
5474,ETI 40' STANDARD,1
5475,ETI 40' STANDARD,1
5476,ETI STANDARD TROLLEY,1
5477,ETI STANDARD TROLLEY,1
5478,ETI STANDARD TROLLEY,1
5479,ETI STANDARD TROLLEY,1
5480,ETI STANDARD TROLLEY,2
5482,ETI STANDARD TROLLEY,1
5483,ETI STANDARD TROLLEY,1
5484,ETI STANDARD TROLLEY,1
5485,ETI STANDARD TROLLEY,1
5486,ETI STANDARD TROLLEY,1
5487,ETI STANDARD TROLLEY,2
5489,ETI STANDARD TROLLEY,1
5490,ETI STANDARD TROLLEY,1
5491,ETI STANDARD TROLLEY,1
5492,ETI STANDARD TROLLEY,1
5493,ETI STANDARD TROLLEY,1
5494,ETI STANDARD TROLLEY,1
5495,ETI STANDARD TROLLEY,1
5496,ETI STANDARD TROLLEY,1
5497,ETI STANDARD TROLLEY,1
5498,ETI STANDARD TROLLEY,1
5499,ETI STANDARD TROLLEY,1
5500,ETI STANDARD TROLLEY,1
5501,ETI STANDARD TROLLEY,1
5502,ETI STANDARD TROLLEY,1
5503,ETI STANDARD TROLLEY,1
5504,ETI STANDARD TROLLEY,1
5505,ETI STANDARD TROLLEY,1
5506,ETI STANDARD TROLLEY,2
5508,ETI STANDARD TROLLEY,1
5509,ETI STANDARD TROLLEY,1
5510,ETI STANDARD TROLLEY,3
5513,ETI STANDARD TROLLEY,1
5514,ETI STANDARD TROLLEY,1
5515,ETI STANDARD TROLLEY,2
5517,ETI STANDARD TROLLEY,1
5518,ETI STANDARD TROLLEY,1
5519,ETI STANDARD TROLLEY,1
5520,ETI STANDARD TROLLEY,1
5521,ETI STANDARD TROLLEY,2
5523,ETI STANDARD TROLLEY,1
5524,ETI STANDARD TROLLEY,1
5525,ETI STANDARD TROLLEY,1
5526,ETI STANDARD TROLLEY,1
5527,ETI STANDARD TROLLEY,1
5528,ETI STANDARD TROLLEY,1
5529,ETI STANDARD TROLLEY,1
5530,ETI STANDARD TROLLEY,3
5533,ETI STANDARD TROLLEY,1
5534,ETI STANDARD TROLLEY,1
5535,ETI STANDARD TROLLEY,1
5536,ETI STANDARD TROLLEY,2
5538,ETI STANDARD TROLLEY,1
5539,ETI STANDARD TROLLEY,1
5540,ETI STANDARD TROLLEY,1
5541,ETI STANDARD TROLLEY,1
5542,ETI STANDARD TROLLEY,1
5543,ETI STANDARD TROLLEY,1
5544,ETI STANDARD TROLLEY,1
5545,ETI STANDARD TROLLEY,1
5546,ETI STANDARD TROLLEY,1
5547,ETI STANDARD TROLLEY,1
5548,ETI STANDARD TROLLEY,1
5549,ETI STANDARD TROLLEY,1
5550,ETI STANDARD TROLLEY,1
5551,ETI STANDARD TROLLEY,1
5552,ETI STANDARD TROLLEY,1
5553,ETI STANDARD TROLLEY,1
5554,ETI STANDARD TROLLEY,1
5555,ETI STANDARD TROLLEY,1
5556,ETI STANDARD TROLLEY,1
5557,ETI STANDARD TROLLEY,1
5558,ETI STANDARD TROLLEY,1
5559,ETI STANDARD TROLLEY,1
5560,ETI STANDARD TROLLEY,1
5561,ETI STANDARD TROLLEY,1
5562,ETI STANDARD TROLLEY,1
5563,ETI STANDARD TROLLEY,2
5565,ETI STANDARD TROLLEY,1
5566,ETI STANDARD TROLLEY,1
5567,ETI STANDARD TROLLEY,1
5568,ETI STANDARD TROLLEY,1
5569,ETI STANDARD TROLLEY,1
5570,ETI STANDARD TROLLEY,1
5571,ETI STANDARD TROLLEY,1
5572,ETI STANDARD TROLLEY,1
5573,ETI STANDARD TROLLEY,1
5574,ETI STANDARD TROLLEY,1
5575,ETI STANDARD TROLLEY,1
5576,ETI STANDARD TROLLEY,1
5577,ETI STANDARD TROLLEY,1
5578,ETI STANDARD TROLLEY,1
5579,ETI STANDARD TROLLEY,1
5580,ETI STANDARD TROLLEY,1
5581,ETI STANDARD TROLLEY,1
5582,ETI STANDARD TROLLEY,1
5583,ETI STANDARD TROLLEY,1
5584,ETI STANDARD TROLLEY,1
5585,ETI STANDARD TROLLEY,1
5586,ETI STANDARD TROLLEY,1
5587,ETI STANDARD TROLLEY,1
5588,ETI STANDARD TROLLEY,1
5589,ETI STANDARD TROLLEY,1
5590,ETI STANDARD TROLLEY,2
5592,ETI STANDARD TROLLEY,1
5593,ETI STANDARD TROLLEY,1
5594,ETI STANDARD TROLLEY,1
5595,ETI STANDARD TROLLEY,1
5596,ETI STANDARD TROLLEY,1
5597,ETI STANDARD TROLLEY,1
